Id,Source,Target,Type
38030,2988b177381a54642202b00001acb9a0,203238acbbe43266d7e9a4065ce93332,directed
38031,2988b177381a54642202b00001acb9a0,8b1b76f3c7d744d45cdbd47ac125f0ed,directed
38032,2988b177381a54642202b00001acb9a0,8172d2b25e816a970946a63add7c06cf,directed
38033,2988b177381a54642202b00001acb9a0,8db87462368ee10da08591278a8b4263,directed
38034,2988b177381a54642202b00001acb9a0,5379ef406b9018b16f74061dd08940bb,directed
38035,2988b177381a54642202b00001acb9a0,831659c35a3520d928a10d3405228e89,directed
38036,2988b177381a54642202b00001acb9a0,63e053715b2d1321605fc2563f1010d6,directed
38037,2988b177381a54642202b00001acb9a0,20fe3e8404a27b9056daedba8ddda213,directed
38038,2988b177381a54642202b00001acb9a0,fe2889c416962e5883e418bb5eb4fdd1,directed
38039,2988b177381a54642202b00001acb9a0,136e4068df61113b40cd8707ff4f98ec,directed
38040,2988b177381a54642202b00001acb9a0,f97d4ee2fc68b1b069288c0993315c90,directed
38041,dfc41d1140421f31b6f396ce835e5143,8b1b76f3c7d744d45cdbd47ac125f0ed,directed
38042,dfc41d1140421f31b6f396ce835e5143,9e67f5d3f35f64dda3c09e02db8107cc,directed
38043,dfc41d1140421f31b6f396ce835e5143,3a563a971a621f9ce5990438e364c2fd,directed
38044,dfc41d1140421f31b6f396ce835e5143,67526902f871276dca90053aaba3ab8f,directed
38045,dfc41d1140421f31b6f396ce835e5143,2d3b1f595c0e711361fdcb7b8417bc7b,directed
38046,dfc41d1140421f31b6f396ce835e5143,21eede893a618991614c6941803752ee,directed
38047,dfc41d1140421f31b6f396ce835e5143,c06235073e713fb60376187b8bcbc314,directed
38048,dfc41d1140421f31b6f396ce835e5143,0ebf4878e8bb8a806362894ad5a8b495,directed
38049,dfc41d1140421f31b6f396ce835e5143,b8453f3189b50e4b856837f6471c1a6e,directed
38050,dfc41d1140421f31b6f396ce835e5143,c8829256e73b1df3b61c65679ef36b30,directed
38051,dfc41d1140421f31b6f396ce835e5143,2a8e5a6d056980e51af94cff4312880a,directed
38052,dfc41d1140421f31b6f396ce835e5143,29508af9e4e3f7b0073aa459e5bd402b,directed
38053,dfc41d1140421f31b6f396ce835e5143,79546697ef6a59fce10b3f0db06872ac,directed
38054,dfc41d1140421f31b6f396ce835e5143,b632aabc29094dd9ee4401b31b8e54aa,directed
38055,dfc41d1140421f31b6f396ce835e5143,ccf5fcd4a276689667d9f789f1596d9a,directed
38056,dfc41d1140421f31b6f396ce835e5143,187a55029cc84cc4a7ee675bb1ac1334,directed
38057,dfc41d1140421f31b6f396ce835e5143,6ad385eeb0c826559eac700e4f9eb27c,directed
38058,dfc41d1140421f31b6f396ce835e5143,e310f4b5c8c27bce752e049709ecc688,directed
38059,dfc41d1140421f31b6f396ce835e5143,fb9975f6e51ece4a43c7c835c6806472,directed
38060,dfc41d1140421f31b6f396ce835e5143,650d80cb5ac0da73d43b1e10b3c20c38,directed
38061,dfc41d1140421f31b6f396ce835e5143,cfe702f906b4720891c2858662993c5e,directed
38062,dfc41d1140421f31b6f396ce835e5143,05e5b4bcdbb11c5813b9afbd9b272f54,directed
38063,dfc41d1140421f31b6f396ce835e5143,8db87462368ee10da08591278a8b4263,directed
38064,dfc41d1140421f31b6f396ce835e5143,1c17a922adac51c3dcc55135ac501924,directed
38065,dfc41d1140421f31b6f396ce835e5143,3b176c18dcff5fa3572874640ccf208d,directed
38066,dfc41d1140421f31b6f396ce835e5143,f7170b9442d564b44e1bf563d1707769,directed
38067,dfc41d1140421f31b6f396ce835e5143,04f52abbb48e4d9f1b8368235c933361,directed
38068,dfc41d1140421f31b6f396ce835e5143,d9984155ef4db1cfc00e7b5ac5c76310,directed
38069,dfc41d1140421f31b6f396ce835e5143,019356a7a349cde0ccea2cda3af2d305,directed
38070,dfc41d1140421f31b6f396ce835e5143,42e55541f998224833b71ab7a122b5f5,directed
38071,dfc41d1140421f31b6f396ce835e5143,f1bce2f7de6798b772dac206c052911a,directed
38072,dfc41d1140421f31b6f396ce835e5143,f30a1ccea5016dab677891320fbfa7fe,directed
38073,dfc41d1140421f31b6f396ce835e5143,ee6422e9be7701356e4ea4540069dfdc,directed
38074,dfc41d1140421f31b6f396ce835e5143,a774f5bc4127d53a4b8bdb0e694a5b6e,directed
38075,dfc41d1140421f31b6f396ce835e5143,69290a5da0c71283684e7598eb98b04b,directed
38076,dfc41d1140421f31b6f396ce835e5143,a6bee6143534b4754e82768f5616d5fe,directed
38077,dfc41d1140421f31b6f396ce835e5143,4244edb074f592920da1c009047f1a57,directed
38078,dfc41d1140421f31b6f396ce835e5143,cdf975933beead43594118cdc1faadc5,directed
38079,dfc41d1140421f31b6f396ce835e5143,31c07d9788287c54819bf37478a535c3,directed
38080,dfc41d1140421f31b6f396ce835e5143,c348c6290481ac7caeda60a6fbc766dc,directed
38081,dfc41d1140421f31b6f396ce835e5143,15e12af464c977ac561bdef7e2c6c6c3,directed
38082,dfc41d1140421f31b6f396ce835e5143,2285625a11010c104f4d71b055ab1071,directed
38083,dfc41d1140421f31b6f396ce835e5143,6f0c394788b30d780ce202b804160f3e,directed
38084,dfc41d1140421f31b6f396ce835e5143,1149f3b6c40eac72cf2b06b9798878dd,directed
38085,dfc41d1140421f31b6f396ce835e5143,d707045694c442c9b84728d565abf0af,directed
38086,dfc41d1140421f31b6f396ce835e5143,b9a22cbabc083bbe40b09eed57ed21b3,directed
38087,dfc41d1140421f31b6f396ce835e5143,b258c8a23a2aaa4d6bcad2bb2bea9eef,directed
38088,dfc41d1140421f31b6f396ce835e5143,039a38fafabf06410a7cd43ead491670,directed
38089,dfc41d1140421f31b6f396ce835e5143,63d23f1a432fda61478d549dc84ab14c,directed
38090,dfc41d1140421f31b6f396ce835e5143,d97f5858da4872738e5734a74c20235f,directed
38091,dfc41d1140421f31b6f396ce835e5143,136e4068df61113b40cd8707ff4f98ec,directed
38092,dfc41d1140421f31b6f396ce835e5143,befef14aebb65ccb58ef697f0cbf5168,directed
38093,dfc41d1140421f31b6f396ce835e5143,bcbcf3c2c103d8dfe7fd75249d777e1a,directed
38094,dfc41d1140421f31b6f396ce835e5143,5e9bb078d5d9300d80b3e3319707bcb3,directed
38095,dfc41d1140421f31b6f396ce835e5143,86366be5061b4599d767c964a26056e3,directed
38096,dfc41d1140421f31b6f396ce835e5143,5685d78b845f077eb40da9dd5e5a3956,directed
38097,dfc41d1140421f31b6f396ce835e5143,d6eabeb1bce9d553ec356efd888cbc45,directed
38098,dfc41d1140421f31b6f396ce835e5143,cbd2a79d89f8807b7699fac1951897a8,directed
38099,dfc41d1140421f31b6f396ce835e5143,bd38e62948289423f235207babfd1d6c,directed
38100,dfc41d1140421f31b6f396ce835e5143,339573113f49469b84c75d18e7cd2b5c,directed
38101,dfc41d1140421f31b6f396ce835e5143,c3fa5222adca5bccb61b4d226e238b18,directed
38102,dfc41d1140421f31b6f396ce835e5143,7cdc3565a8f5022acd49fe1c3c970263,directed
38103,dfc41d1140421f31b6f396ce835e5143,6191b1b46226c01bc5ac991f6b11f4bb,directed
38104,dfc41d1140421f31b6f396ce835e5143,800b3c51c9793ba0c859c7b0c164c80a,directed
38105,dfc41d1140421f31b6f396ce835e5143,75fcdc9c76aba3d758e3624de5c00678,directed
38106,dfc41d1140421f31b6f396ce835e5143,b5a5407d13a1b4aeddefaf94caf273e7,directed
38107,dfc41d1140421f31b6f396ce835e5143,67848cf5b524d9c326a9f8cf49cd5a0e,directed
38108,dfc41d1140421f31b6f396ce835e5143,de5a6a66fdb9e258da35e3e85f26410c,directed
38109,dfc41d1140421f31b6f396ce835e5143,1869620be301f8dd64b719b705ee5987,directed
38110,dfc41d1140421f31b6f396ce835e5143,19f0b49917578a3943778ec12c4c49ad,directed
38111,dfc41d1140421f31b6f396ce835e5143,190e31cedc901b91c7d71b3621c3840b,directed
38112,dfc41d1140421f31b6f396ce835e5143,3f00221a452717fbe08f772649ec48f8,directed
38113,dfc41d1140421f31b6f396ce835e5143,f15bf3d8c04329d56d24ce135ed6f79f,directed
38114,dfc41d1140421f31b6f396ce835e5143,43fb0dc7bada59a6ee24bcf9a15417e2,directed
38115,dfc41d1140421f31b6f396ce835e5143,cbf3dd7b41988dd6cdd16571b7ed992b,directed
38116,dfc41d1140421f31b6f396ce835e5143,5f17840821598a505eef86daebea8c14,directed
38117,dfc41d1140421f31b6f396ce835e5143,0bf7a9ad235101810b76a2c0d0d34e3e,directed
38118,dfc41d1140421f31b6f396ce835e5143,6e6d25ac8408d3931b57eb5bd3350530,directed
38119,dfc41d1140421f31b6f396ce835e5143,f91900bae25ae63e1f627128cd1fef28,directed
38120,dfc41d1140421f31b6f396ce835e5143,ec13974bfb2f5adf5043a67af420c719,directed
38121,dfc41d1140421f31b6f396ce835e5143,fb1ad3eafdc6cd1e58973cfabb257a7c,directed
38122,dfc41d1140421f31b6f396ce835e5143,cab79f36f77ebacb6579858e26e125bd,directed
38123,dfc41d1140421f31b6f396ce835e5143,3ffad542f107c36cd3c6954de34504a2,directed
38124,dfc41d1140421f31b6f396ce835e5143,1ebd0fc64a52841925571ce2d285854b,directed
38125,dfc41d1140421f31b6f396ce835e5143,fe3ba1ff7b01c66c5ebe3debad90e0d6,directed
38126,dfc41d1140421f31b6f396ce835e5143,45c76215779087a9f71bb5549f315b08,directed
38127,dfc41d1140421f31b6f396ce835e5143,fa2e5fb141a1807b3c24ab1e205a9f40,directed
38128,dfc41d1140421f31b6f396ce835e5143,63e053715b2d1321605fc2563f1010d6,directed
38129,dfc41d1140421f31b6f396ce835e5143,399b77d3974b34711a6bed5ca738619c,directed
38130,dfc41d1140421f31b6f396ce835e5143,5d9948adf23d004dc4520080c53cd642,directed
38131,dfc41d1140421f31b6f396ce835e5143,cc111bbec6ceb99ca40f378393b6f888,directed
38132,dfc41d1140421f31b6f396ce835e5143,e45788b63cb10ef3652f7de0fe406c58,directed
38133,dfc41d1140421f31b6f396ce835e5143,e2b08e4f406c0c4e65401729e2b2a785,directed
38134,dfc41d1140421f31b6f396ce835e5143,cd72a6fecc870b6f189836e8aa4c23b2,directed
38135,dfc41d1140421f31b6f396ce835e5143,baef070cdd72e185da185071a1c91be6,directed
38136,dfc41d1140421f31b6f396ce835e5143,093f17f20c1b949a7c597bbf7d118003,directed
38137,dfc41d1140421f31b6f396ce835e5143,29541cd6d3d5ad7baee1b4fa19acf738,directed
38138,dfc41d1140421f31b6f396ce835e5143,d51917ae2d1659e9334f660864cdd1ae,directed
38139,dfc41d1140421f31b6f396ce835e5143,d0a7c1f875dd510adc51323f4ac62651,directed
38140,dfc41d1140421f31b6f396ce835e5143,009bed28a4f130f3c84a64c4c94cd8c9,directed
38141,dfc41d1140421f31b6f396ce835e5143,26a6688bc74fcf549231191d304671f9,directed
38142,dfc41d1140421f31b6f396ce835e5143,c31dc77d8d83d815fa2aa13cf0b0dbba,directed
38143,dfc41d1140421f31b6f396ce835e5143,0f71f2223176f41e121074c6c407aa58,directed
38144,dfc41d1140421f31b6f396ce835e5143,987b1bd7a784e97c73a6529265eca1a6,directed
38145,dfc41d1140421f31b6f396ce835e5143,1a60bb34e22c9704db82cd0d8e084bfb,directed
38146,dfc41d1140421f31b6f396ce835e5143,11b1c0aae16951ac19f7bc739eff039c,directed
38147,dfc41d1140421f31b6f396ce835e5143,5c3a5867257768c6476ee89b529c181f,directed
38148,dfc41d1140421f31b6f396ce835e5143,b11dd2e63ee0a5b4ec484ff3ba220ace,directed
38149,dfc41d1140421f31b6f396ce835e5143,cc6a8d622a40b5dd6f95d7019b38f3a6,directed
38150,dfc41d1140421f31b6f396ce835e5143,6bb3e28a7b951ec6ee7c0711847b0f5b,directed
38151,dfc41d1140421f31b6f396ce835e5143,fb58be5585a01e7eed4d35b3ec32468b,directed
38152,dfc41d1140421f31b6f396ce835e5143,4cda9f55d118207ac984958ed983f702,directed
38153,dfc41d1140421f31b6f396ce835e5143,909f98db88b4da801871c50e17196768,directed
