Id,Source,Target,Type
0,203238acbbe43266d7e9a4065ce93332,2988b177381a54642202b00001acb9a0,directed
1,8db87462368ee10da08591278a8b4263,2988b177381a54642202b00001acb9a0,directed
2,b035f342d2e881bfd09fbb5604fbeefc,2988b177381a54642202b00001acb9a0,directed
3,47f4f9f0fea1a010ef1aee9602427be8,2988b177381a54642202b00001acb9a0,directed
4,5379ef406b9018b16f74061dd08940bb,2988b177381a54642202b00001acb9a0,directed
5,831659c35a3520d928a10d3405228e89,2988b177381a54642202b00001acb9a0,directed
6,63e053715b2d1321605fc2563f1010d6,2988b177381a54642202b00001acb9a0,directed
7,20fe3e8404a27b9056daedba8ddda213,2988b177381a54642202b00001acb9a0,directed
8,f97d4ee2fc68b1b069288c0993315c90,2988b177381a54642202b00001acb9a0,directed
9,3a563a971a621f9ce5990438e364c2fd,dfc41d1140421f31b6f396ce835e5143,directed
10,67526902f871276dca90053aaba3ab8f,dfc41d1140421f31b6f396ce835e5143,directed
11,981566a1410678d109ef0e44d452593c,dfc41d1140421f31b6f396ce835e5143,directed
12,871f782be9e26634b884a82e59d49ae6,dfc41d1140421f31b6f396ce835e5143,directed
13,e334ce188da13c28e294019e62f43aa0,dfc41d1140421f31b6f396ce835e5143,directed
14,2d3b1f595c0e711361fdcb7b8417bc7b,dfc41d1140421f31b6f396ce835e5143,directed
15,08032e57ddbe0061df4d753a46d07089,dfc41d1140421f31b6f396ce835e5143,directed
16,21eede893a618991614c6941803752ee,dfc41d1140421f31b6f396ce835e5143,directed
17,7a40c971d49e2aac1ebaed4be1d05702,dfc41d1140421f31b6f396ce835e5143,directed
18,0ebf4878e8bb8a806362894ad5a8b495,dfc41d1140421f31b6f396ce835e5143,directed
19,b8453f3189b50e4b856837f6471c1a6e,dfc41d1140421f31b6f396ce835e5143,directed
20,a3df2842f923676652da2add52560ccf,dfc41d1140421f31b6f396ce835e5143,directed
